step,_runtime,loss,_step,time,l2_error,loss_boundary,_timestamp,loss_interior
57566,937.4587519168854,6.312679315619324e-05,117,935.8682842254639,0.002179698605766419,8.61426339934464e-06,1723046588.701489,5.4512529756848593e-05
63322,1031.1588680744171,1.402026009963457e-05,118,1029.5677001476288,0.002824176420757418,6.218843633551621e-06,1723046682.4016051,7.801416466082949e-06
69654,1134.1040160655975,4.3536994703264705e-06,119,1132.513057231903,0.0013699966693460788,1.2861355466097282e-06,1723046785.3467531,3.0675639237167425e-06
76620,1247.710648059845,2.5832778120519687e-05,120,1246.1200013160706,0.005839985737467336,2.2294824959159636e-05,1723046898.953385,3.5379531613600526e-06
84281,1372.344612121582,2.4483787780765767e-05,121,1370.754310131073,0.0034543512715363416,1.9628314110702942e-05,1723047023.5873492,4.855473670062826e-06
92710,1509.2240779399872,3.905107485322742e-05,122,1507.6329684257507,0.007008607161753355,2.7018664751194724e-05,1723047160.466815,1.2032410102032699e-05
101980,1659.8251945972443,9.51442337983696e-06,123,1658.2343707084656,0.004585124306573884,5.382382802237246e-06,1723047311.0679317,4.1320405775997134e-06
112178,1825.450082063675,6.0973624681976865e-06,124,1823.8590850830078,0.0020950229599800488,2.653338511262456e-06,1723047476.692819,3.4440239569352307e-06
123396,2007.9372577667236,1.1370604922247125e-05,125,2006.3463277816772,0.0033979899915969982,7.866429593369018e-06,1723047659.1799948,3.5041753288781073e-06
135736,2206.0574567317963,3.924638489616657e-06,126,2204.466349363327,0.001977134538618828,9.141403007255535e-07,1723047857.3001938,3.0104981888911032e-06
149309,2422.521119594574,3.6758261643088368e-06,127,2420.9288849830627,0.000977553313637367,1.2469106228914652e-06,1723048073.7638566,2.4289155414173718e-06
164240,2660.217657327652,6.04196073787078e-06,128,2658.626563310623,0.002698342869846356,4.451496134360701e-06,1723048311.4603944,1.590464603510079e-06
180664,2921.3369212150574,3.073883338609517e-06,129,2919.745860815048,0.0010516347600396663,6.678666269554999e-07,1723048572.5796583,2.406016711654017e-06
185692,3001.5972185134888,2.8858194679611558e-06,130,3000.005131006241,0.0008019666714647464,4.841481345272662e-07,1723048652.8399556,2.4016713334338896e-06
