l2_error,loss_boundary,loss,_runtime,time,_timestamp,loss_interior,_step,step
0.027696714638506963,0.0008164828513490662,0.0017353806372394113,30.42498469352722,26.72079062461853,1715668110.9268346,0.0009188977858903451,87,3299
0.024346316109145217,0.0006415299930913976,0.0014479943204903345,32.945117473602295,29.240732669830322,1715668113.4469674,0.0008064643273989371,88,3629
0.020516982078901975,0.00046140787493348633,0.0010226512754205,35.714200019836426,32.01010227203369,1715668116.21605,0.0005612434004870138,89,3992
0.018473276093224016,0.0003293599840349474,0.0007766220802363042,38.7524847984314,35.04828429222107,1715668119.2543347,0.00044726209620135686,90,4391
0.01634185194201677,0.0002846181648447198,0.0005748574769685424,42.11971735954285,38.41522240638733,1715668122.6215672,0.00029023931212382263,91,4831
0.01670063008781215,0.00023438652563282004,0.00047736394513500044,45.81414270401001,42.1099009513855,1715668126.3159926,0.0002429774195021804,92,5314
0.01713911760727428,0.00019850286878173699,0.0004285183475959847,49.86087369918823,46.15655446052551,1715668130.3627236,0.0002300154788142477,93,5845
0.012652415695027798,0.00013150713943968124,0.0003399085789347166,54.306057929992676,50.6018123626709,1715668134.8079078,0.00020840143949503538,94,6429
0.014148556201043444,0.00014055720902371953,0.0002892559455390523,59.18958926200867,55.485180139541626,1715668139.6914392,0.0001486987365153328,95,7072
0.016017888761067113,0.0001390589389962324,0.00028408510492336546,64.5869357585907,60.882532596588135,1715668145.0887856,0.00014502616592713307,96,7779
0.010451730599226763,9.215768236649979e-05,0.0002240694354157008,70.50744652748108,66.80316162109375,1715668151.0092964,0.000131911753049201,97,8557
0.009899979689653966,8.597388430637952e-05,0.0001978964124059448,77.04439949989319,73.33987784385681,1715668157.5462494,0.00011192252809956527,98,9413
0.008330028663065238,7.138702787932606e-05,0.00017346517735817262,84.20670938491821,80.50247883796692,1715668164.7085593,0.00010207814947884656,99,10354
0.012437188958039011,0.00011861559185082349,0.00022128932444047926,92.05644035339355,88.3523108959198,1715668172.5582902,0.00010267373258965578,100,11389
0.012923235501793334,7.710837223815e-05,0.00023521124859350817,100.70122742652893,96.99682760238647,1715668181.2030773,0.00015810287635535818,101,12528
0.011718022841782146,9.70424333570344e-05,0.00019019836606542026,110.22996664047241,106.52555108070374,1715668190.7318165,9.315593270838584e-05,102,13781
0.008458508003447319,3.9214055136445805e-05,0.00010612081455652688,120.68862295150757,116.98443031311035,1715668201.1904728,6.690675942008107e-05,103,15159
0.010710494665482054,4.556232838556438e-05,0.00010708092887890264,132.2013120651245,128.49686694145203,1715668212.703162,6.151860049333826e-05,104,16675
0.007015869306341854,4.551799476952593e-05,9.781452321899512e-05,144.89131999015808,141.1871566772461,1715668225.3931699,5.229652844946919e-05,105,18342
0.008780406090408682,5.224307574088664e-05,0.00013119965635020433,158.8388123512268,155.13443660736084,1715668239.3406622,7.89565806093177e-05,106,20177
0.006861212243071265,2.8443291576585178e-05,7.374995148171216e-05,174.15238976478577,170.44824266433716,1715668254.6542397,4.530665990512698e-05,107,22194
0.005164026256552643,3.412791364676906e-05,7.224765992475018e-05,190.9829785823822,187.27868103981018,1715668271.4848285,3.811974627798112e-05,108,24414
0.005694173851670818,2.6554062238258492e-05,6.521057143896987e-05,209.5639386177063,205.85970211029053,1715668290.0657885,3.865650920071138e-05,109,26855
0.010654295897741507,4.315125099137597e-05,8.217167498579848e-05,229.94753313064575,226.2431538105011,1715668310.449383,3.902042399442251e-05,110,29540
0.0056129400642086725,2.4448718785580112e-05,6.63133727941735e-05,252.49266362190247,248.7880835533142,1715668332.9945135,4.1864654008593386e-05,111,32494
0.01872844123266786,0.0001487929209589189,0.00024840759397584786,277.3499743938446,273.6454870700836,1715668357.8518243,9.961467301692896e-05,112,35744
0.01607918140252105,0.00015099178755600287,0.0002936181233111496,304.56749844551086,300.8631155490875,1715668385.0693483,0.00014262633575514672,113,39318
0.010882063435664785,3.8415813946531944e-05,7.605921852688079e-05,334.4789481163025,330.77451825141907,1715668414.980798,3.7643404580348856e-05,114,43250
0.00403572000642839,1.4181098898422221e-05,3.688897996563808e-05,367.34014773368835,363.6357333660126,1715668447.8419976,2.2707881067215857e-05,115,47575
0.004142191236328342,1.6497453929099114e-05,4.5818538281864016e-05,403.47164011001587,399.7672896385193,1715668483.97349,2.9321084352764905e-05,116,52332
0.004614521556613835,1.138430425206767e-05,5.671192465324894e-05,443.2123990058899,439.5080246925354,1715668523.714249,4.532762040118127e-05,117,57566
0.006057319966482401,2.3542630427739976e-05,4.776884633080632e-05,486.9051203727722,483.20083594322205,1715668567.4069703,2.4226215903066345e-05,118,63322
0.003977034949002412,7.281329343302471e-06,2.433604607198501e-05,534.9712760448456,531.2668368816376,1715668615.473126,1.705471672868254e-05,119,69654
0.022979809104810924,0.00018608072562219122,0.00021995400362433173,587.8259887695312,584.121593952179,1715668668.3278387,3.38732780021405e-05,120,76620
0.006591441878851617,4.2773362522800094e-05,6.292366316788917e-05,645.9557132720947,642.2513525485992,1715668726.4575632,2.0150300645089074e-05,121,84281
0.010931520204659654,4.164883574592074e-05,6.873136798023259e-05,710.0683662891388,706.3640146255493,1715668790.5702162,2.708253223431185e-05,122,92710
