step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
17,151.91565775871277,8.013121632326559,146.08934744953538,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
18,160.37763595581055,7.393506050319155,131.53211136103974,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
19,168.84142446517944,6.839014507848049,110.16325975600051,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
20,177.30260229110718,6.335066807793362,98.3174101876784,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
21,185.76784563064575,5.859269094370514,91.11586167344223,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
22,194.23059153556824,5.431269168296277,81.63604245186643,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
23,202.69198608398438,5.0320798013431425,72.28551863822481,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
24,211.1538164615631,4.663991811227603,63.168015390300845,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
25,219.61656069755554,4.339119570911933,60.26905037804553,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
26,228.0787010192871,4.040362275326429,49.19592535974163,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
27,236.540287733078,3.7532163019265017,47.63689283889528,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
28,245.00277376174927,3.4954437688904516,42.62448208450638,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
29,253.4642038345337,3.2555584090059524,37.28066651201198,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
30,261.9288864135742,3.0352874372515255,32.92317535579074,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
31,270.39126801490784,2.833242187245485,30.44612467848188,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
32,278.85295486450195,2.651560979637312,25.74687382937121,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
33,287.3170235157013,2.479207654436834,22.7755094113259,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
34,295.77911019325256,2.3171603131646807,21.181910712358842,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
35,304.24290680885315,2.170564570147434,19.362397376544735,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
36,312.70464038848877,2.0356864097412877,17.19740741517528,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
37,321.1664137840271,1.9067061136445913,14.902560227932488,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
38,329.6289074420929,1.787294751008646,13.49806977569449,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
39,338.09029722213745,1.6795439232226976,11.803688342629618,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
40,346.5525417327881,1.5797994336874555,10.95085525769685,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
42,363.4562213420868,1.4077055299920649,8.768895303179457,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
46,397.23927450180054,1.128247009478699,6.05821566705126,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
50,431.02455019950867,0.9268183676032266,3.845783492906208,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
