_step,_timestamp,step,time,loss_interior,loss_boundary,l2_error,loss,_runtime
104,1715516528.3959088,16675,375.3358256816864,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,379.2205777168274
105,1715516563.2046719,18342,410.14469814300537,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,414.02934074401855
106,1715516601.4225383,20177,448.36241340637207,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,452.2472071647644
107,1715516643.4457939,22194,490.38568139076233,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,494.27046275138855
108,1715516689.7366562,24414,536.676765203476,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,540.5613250732422
109,1715516740.6726654,26855,587.6125409603119,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,591.4973342418671
110,1715516796.6814356,29540,643.6213433742523,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,647.5061044692993
111,1715516858.2667859,32494,705.2067241668701,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,709.091454744339
112,1715516926.192268,35744,773.1321475505829,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,777.0169367790222
113,1715517000.733556,39318,847.673425912857,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,851.5582249164581
114,1715517082.6486735,43250,929.5884974002838,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,933.4733424186707
115,1715517153.066132,46630,1000.0060098171234,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,1003.8908009529114
